min_cluster_size;dbcv_score;percentual_ruido
3;0.3353306355808293;16.581319870176703
4;0.26867497088962133;23.144608727010457
5;0.2698722820790656;26.404615939415795
6;0.22079653058432075;30.667147493689146
7;0.2365154418757277;32.823656689505945
8;0.19084566749304321;34.35989902632528
9;0.20387529033247137;37.96610169491525
10;0.19863165952448802;39.798052650558965
11;0.21199140624546264;41.83195095564371
12;0.21107660714172535;41.377569419401375
13;0.1996117574164974;41.42084385142445
14;0.19743511717497886;43.07969707897584
15;0.21376773444270863;43.389830508474574
16;0.20371700410370097;44.572664983772086
17;0.2365528435828112;45.409304002884966
18;0.16748135854590457;44.32744320230797
19;0.21993684994475587;47.65957446808511
20;0.17321958997799194;47.49368914532997
21;0.290130734399304;46.53443923548504
22;0.2847588648983865;45.914172376487564
23;0.23273934734879126;46.48395239812477
24;0.22562428957000052;49.12369275153264
25;0.1916944500792879;50.133429498737826
26;0.2025169047098315;49.967544175982695
27;0.19948746725470518;51.06382978723404
28;0.22396030967281388;51.66967183555716
29;0.25340091210107296;51.06382978723404
30;0.21260471433134523;52.55679769203029
