k;silhouette;davies_bouldin;calinski_harabasz
2;0.3878906304473642;0.9644833617103017;11590.744500781802
3;0.44993432239579084;0.7710562038354691;16268.863843700088
4;0.39417094830573285;0.8444219616124268;15696.689395507652
5;0.40897161251295744;0.8162089466139004;16920.551613660184
6;0.4175306842411074;0.7571416279675988;17507.56027621724
7;0.40892317509624576;0.7780620676432976;17639.271594052498
8;0.4070130898958876;0.7688741972672726;17588.606172944546
9;0.41953638758167616;0.7607964675938454;17807.720924379722
10;0.40723780848517543;0.802772484877646;17691.81705997523
11;0.4083821138254471;0.7851684367966913;17662.634719580754
12;0.40045562323918305;0.8136538326477996;17587.554251561854
13;0.3972135484086317;0.7982714965672848;17765.816299016227
14;0.39284150853928673;0.8150730966480796;17878.74636585218
15;0.3838279904567712;0.8255342260704405;17826.244094843943
